code;name;latitude;longitude;services
PA396;Estación Mapocho;-33.43287847;-70.65296386;502-502c-503-509-517
PA397;Mercado De Anticuarios;-33.43139798;-70.66520803;502-502c-503-517
PA4;Liceo Iasura Dinator;-33.44699085;-70.67922194;109-406-422-426-507-513-B28-J16
PA40;Parque Forestal;-33.43696827;-70.63903658;505-508-514-515N-517-B02N
PA405;General Bulnes / Mapocho;-33.4323237;-70.67147483;502-502c-503-504-517-518-J03-J10
PA409;Puente Purísima;-33.43401159;-70.64302525;502-502c-503-B27
PA41;(M) Universidad Católica;-33.43924492;-70.63941285;106-109N-401-405-419-421-423-432N-481-514-515N-541N
PA410;Puente Purísima;-33.43491048;-70.63915922;502-502c-503-B27
PA411;Facultad De Derecho;-33.43573315;-70.63559285;502-502c-B27
PA412;Ricardo Cumming / Andes;-33.43291639;-70.66831321;502-502c-503-504-517-518
PA413;General Bulnes / Andes;-33.43306225;-70.67087591;502-502c-503-504-517-518
PA414;Rafael Sotomayor / Andes;-33.43326623;-70.67380542;502-502c-503-504-517-518
PA415;Maipú / Andes;-33.43349312;-70.67703655;502-502c-503-504-517-518-J03
PA416;Matucana - Andes;-33.43368444;-70.68022399;503-504-517-518
PA417;(M) Plaza De Armas;-33.43854397;-70.65145782;402-504-505-508-514
PA419;Portugal / Diagonal Paraguay;-33.44322861;-70.63822921;H13
PA42;(M) Universidad Católica;-33.43986438;-70.64030656;210-210v-403-406-407-412-418-426-513-516-519-B02N-D09N-F30N
PA420;Vicuña Mackenna / Diagonal Paraguay;-33.44202889;-70.63415124;504-518-H13
PA421;San Antonio - Santo Domingo;-33.43596569;-70.64935452;402-504-505-508-514
PA422;(M) Plaza De Armas;-33.43626521;-70.65192019;402-504-505-508-514
PA423;Santo Domingo - Teatinos;-33.43665923;-70.65550952;303-307-314
PA424;Almirante Barroso / Santo Domingo;-33.43734281;-70.66238511;119-402-504-505-508-514
PA425;San Pablo / Almirante Barroso;-33.43493938;-70.66272649;119-504-518
PA426;Brasil / Andes;-33.4327019;-70.66481346;504-518
PA427;Hospital San Juan De Dios;-33.44153801;-70.67898777;505-508-514-B28-J01-J02-J05-J19
PA428;Esperanza / Compañía De Jesús;-33.44116693;-70.67575356;505-508-514-B28-J02-J05
PA429;Cueto / Compañía De Jesús;-33.44081278;-70.672595;505-508-514
PA43;Agustinas / Miraflores;-33.44061113;-70.64520423;116-303-514-515N
PA430;Ricardo Cumming / Compañía De Jesús;-33.44038754;-70.66868213;505-508-514
PA431;Gral Baquedano - Rosas;-33.43630062;-70.66545228;505
PA433;Escuela De Ingeniería;-33.45721215;-70.66423825;506-506e-506v-507-509
PA434;Plaza Ercilla;-33.45694788;-70.66108086;506-506v-507-509
PA435;(M) Parque O'higgins;-33.4606479;-70.65684772;506-506e-506v-507-507c-510
PA436;Nataniel Cox / Matta;-33.46004763;-70.65182249;506-506v-507-507c-510
PA438;San Francisco / Matta;-33.45896082;-70.64538944;506-506v-507-507c-510-H06
PA439;Santa Rosa / Matta;-33.45856147;-70.64354209;506-506e-506v-507-507c-510
PA44;Merced / Miraflores;-33.43828029;-70.6455152;303-514-515N
PA440;Carmen / Matta;-33.45774736;-70.63964273;506-506v-507-507c-510
PA442;Portugal / Matta;-33.45643097;-70.63347465;506-506v-507-507c-510
PA443;Portugal / Matta;-33.45602979;-70.63312284;506-506v-507-507c-510
PA444;Lira / Matta;-33.45678554;-70.63667669;506-506v-507-507c-510
PA445;Carmen / Matta;-33.45734492;-70.6393877;506-506v-507-507c-510
PA446;Santa Rosa / Matta;-33.45809118;-70.64296298;506-506e-506v-507-507c-510
PA447;Serrano / Matta;-33.45867576;-70.64580365;506-506v-507-507c-510
PA448;San Diego / Matta;-33.45932123;-70.6488069;506-506e-506v-507-507c-510
PA449;Nataniel Cox / Matta;-33.45970145;-70.65140707;506-506v-507-507c-510
PA450;(M) Parque O'higgins;-33.46028683;-70.65687313;506-506e-506v-507-507c-509-510
PA451;Plaza Ercilla;-33.45667409;-70.66132309;506-506v-509
PA452;Escuela De Ingeniería;-33.45687547;-70.66379071;506-506e-506v-509
PA453;España - Blanco;-33.45753833;-70.66814997;506-506v-509
PA455;Cabo Arestey / España;-33.44926537;-70.6704013;507
PA456;Grajales / España;-33.45243165;-70.6696659;507
PA457;Toesca / España;-33.4546933;-70.66913906;507
PA458;Domeyko / España;-33.45682829;-70.66864203;507
PA459;Plaza Ercilla;-33.45675985;-70.6623253;507
PA46;J M Caro / Miraflores;-33.43447496;-70.64548638;503
PA460;Almirante Barroso / Catedral;-33.43848098;-70.66224547;J03
PA462;Ricardo Cumming / Catedral;-33.4390773;-70.66820526;508-514
